,AP,Wifi Name,Signal,Channel,Ch. Width,Standard,MAC Address,Security,Vendor
,,Personal-669,-28 dBm,52,80 MHz,802.11n/a/be,7a:eb:46:74:11:28,WPA2-Personal (AES/CCMP),
,,DIRECT-roku-4CL-1A1A0C,-28 dBm,48,20 MHz,802.11n/a/be,aa:b5:7c:e5:dd:a7,WPA2-Personal (AES/CCMP),
,,C4F4F7,-56 dBm,56,80 MHz,802.11n/a/be,b0:fc:36:0a:b8:18,WPA2-Personal (TKIP/AES/CCMP),CyberTAN Technology Inc.
,,Personal-122,-60 dBm,52,80 MHz,802.11n/a/be,7a:eb:46:74:59:80,WPA2-Personal (AES/CCMP),
,75,<Hidden>,-61 dBm,44,80 MHz,802.11n/a/be,16:27:f5:e6:de:27,WPA2-Personal (AES/CCMP),
,2,deconet,-61 dBm,44,80 MHz,802.11n/a/be,10:27:f5:e6:de:27,WPA2-Personal (AES/CCMP),TP-Link Corporation Limited
,,cachapa,-63 dBm,48,80 MHz,802.11n/a/be,f2:9f:c2:38:9a:3f,WPA2-Personal (AES/CCMP),Ubiquiti Inc
,,Fibertel WiFi239 5.8GHz,-66 dBm,64,40 MHz,802.11n/a/be,50:6f:0c:33:a8:d4,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Lucciano 5.8,-68 dBm,157,40 MHz,802.11n/a/be,28:9e:fc:3e:04:3f,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Fibertel WiFi255 5.8GHz,-68 dBm,157,80 MHz,802.11n/a/be,00:cb:51:f2:82:b6,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Olga 2.4,-69 dBm,52,80 MHz,802.11n/a/be,4c:19:5d:d1:de:7d,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,2,Atlanta,-70 dBm,36,80 MHz,802.11n/a/be,c0:c9:e3:a1:f4:7b,WPA2-Personal (AES/CCMP),"Tp-Link Technologies Co.,Ltd."
,,Marcela,-72 dBm,157,80 MHz,802.11n/a/be,62:3d:29:87:7a:1c,WPA2-Personal (AES/CCMP),
,3,Gonzalez WiFi Mesh,-72 dBm,44,80 MHz,802.11n/a/be,28:ee:52:7f:9c:cf,WPA2-Personal (AES/CCMP),"Tp-Link Technologies Co.,Ltd."
,,Fibertel WiFi026 5.8GHz,-72 dBm,60,80 MHz,802.11n/a/be,b0:bb:e5:3d:f4:ea,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Personal-DAF,-73 dBm,52,80 MHz,802.11n/a/be,22:53:83:cf:5c:e8,WPA2-Personal (AES/CCMP),
,,MOVISTAR-WIFI6-0C48,-73 dBm,100,80 MHz,802.11n/a/be,44:3b:14:70:0c:4f,WPA2-Personal (AES/CCMP),
,,Starlinkdepedra,-73 dBm,153,80 MHz,802.11n/a/be,da:18:e7:41:36:b7,WPA2-Personal (AES/CCMP),
,,Fibertel WiFi212 5.8GHz,-76 dBm,56,80 MHz,802.11n/a/be,84:17:ef:46:7d:98,WPA2-Personal (TKIP/AES/CCMP),Vantiva USA LLC
,4,TeleCentro Wifi,-76 dBm,149,80 MHz,802.11n/a/be,22:b8:2b:2c:f1:08,Open,
,,Personal-439,-76 dBm,60,80 MHz,802.11n/a/be,26:97:45:87:ed:b8,WPA2-Personal (AES/CCMP),
,,pichula5Ghz,-76 dBm,161,80 MHz,802.11n/a/be,78:4f:24:3b:32:dd,WPA2-Personal (AES/CCMP),Taicang T&W Electronics
,,Personal-483,-77 dBm,52,80 MHz,802.11n/a/be,a8:ff:ba:70:b8:50,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Personal-5CF-5GHz,-77 dBm,52,80 MHz,802.11n/a/be,84:01:12:2e:f5:d5,WPA2-Personal (TKIP/AES/CCMP),"Kaon Group Co., Ltd."
,,CASAPOCHY 5.8GHz,-77 dBm,52,80 MHz,802.11n/a/be,b0:bb:e5:45:32:28,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Personal-625,-78 dBm,60,80 MHz,802.11n/a/be,f2:c4:78:73:21:30,WPA2-Personal (AES/CCMP),
,,smartBox-F81B,-78 dBm,40,40 MHz,802.11n/a/be,68:8f:c9:46:7c:7b,WPA2-Personal (AES/CCMP),"Zhuolian (Shenzhen) Communication Co., Ltd"
,,El Nido 5.8Ghz,-78 dBm,60,80 MHz,802.11n/a/be,6e:d1:e5:64:f2:b4,WPA2-Personal (AES/CCMP),
,,Personal-340,-79 dBm,52,80 MHz,802.11n/a/be,38:20:28:df:04:6c,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Ribas ,-79 dBm,52,80 MHz,802.11n/a/be,10:d7:b0:fa:81:0d,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,WiFi_Fibertel_2g3_5GHz,-79 dBm,153,80 MHz,802.11n/a/be,8c:fd:de:54:d3:11,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Newbery1619,-79 dBm,44,80 MHz,802.11n/a/be,b0:19:21:9a:38:81,WPA2-Personal (AES/CCMP),
,,Personal-814,-79 dBm,52,80 MHz,802.11n/a/be,f2:c4:78:81:69:44,WPA2-Personal (AES/CCMP),
,,wifibelu 5.8GHz,-79 dBm,60,80 MHz,802.11n/a/be,a8:6a:bb:db:10:0d,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,IPLANLiv-Renzo-5Ghz,-79 dBm,108,80 MHz,802.11n/a/be,c8:5a:9f:c3:2e:a2,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Personal-215,-79 dBm,52,80 MHz,802.11n/a/be,98:1a:35:b8:39:30,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Zyxel_5073,-79 dBm,104,80 MHz,802.11n/a/be,d4:1a:d1:15:17:83,WPA2-Personal (AES/CCMP),Zyxel Communications Corporation
,,Telecentro-ef08,-79 dBm,149,80 MHz,802.11n/a/be,20:b8:2b:2c:ef:0e,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,2,IPLAN-547067-5G,-80 dBm,112,80 MHz,802.11n/a/be,e4:47:b3:d4:60:ee,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Fibertel WiFi579 5.8GHz,-80 dBm,52,80 MHz,802.11n/a/be,98:77:e7:ce:68:e2,WPA2-Personal (TKIP/AES/CCMP),"Kaon Group Co., Ltd."
,,Fibertel WiFi846 5.8GHz,-80 dBm,52,80 MHz,802.11n/a/be,b0:bb:e5:40:b7:6a,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Personal-6B0,-80 dBm,56,80 MHz,802.11n/a/be,a2:44:5c:56:f8:20,WPA2-Personal (AES/CCMP),
,,Cleveland,-80 dBm,112,80 MHz,802.11n/a/be,f8:79:28:5a:c7:ab,WPA2-Personal (AES/CCMP),zte corporation
,,Zyxel_5621,-80 dBm,40,80 MHz,802.11n/a/be,d4:1a:d1:15:20:13,WPA2-Personal (AES/CCMP),Zyxel Communications Corporation
,,TCH0483886,-80 dBm,60,40 MHz,802.11n/a/be,08:7e:64:ad:1d:98,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,*leon wifi 5.8GHz,-80 dBm,60,80 MHz,802.11n/a/be,98:1e:19:b7:e5:2d,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,FiberCorp WiFi454 5.8,-80 dBm,60,80 MHz,802.11n/a/be,44:05:3f:9e:f0:80,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,AutoKit_00,-81 dBm,40,40 MHz,802.11n/a/be,00:e0:4c:15:62:98,WPA2-Personal (AES/CCMP),Realtek Semiconductor Corp.
,,WiFi_Fibertel_8jf_5GHz,-81 dBm,157,80 MHz,802.11n/a/be,8c:fd:de:53:61:b1,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Victoria 5.8GHz,-81 dBm,60,80 MHz,802.11n/a/be,c6:34:5b:15:c2:e8,WPA2-Personal (AES/CCMP),
,,Manusoftar_Living 5Ghz,-81 dBm,149,40 MHz,802.11n/a/be,24:f5:a2:b7:ae:e2,WPA2-Personal (AES/CCMP),Belkin International Inc.
,,CAR-33C6,-81 dBm,40,40 MHz,802.11n/a/be,f0:a8:82:52:de:e2,WPA2-Personal (AES/CCMP),"shenzhen trolink Technology Co.,Ltd"
,,Humberto-5.8Ghz,-81 dBm,161,80 MHz,802.11n/a/be,80:ca:4b:bb:f2:50,WPA2-Personal (AES/CCMP),"Shenzhen Gongjin Electronics Co.,Ltd"
,,Fibertel WiFi956 5.8GHz,-81 dBm,36,40 MHz,802.11n/a/be,6c:5a:b0:d5:75:a1,Open,TP-Link Corporation Limited
,,Victoria,-82 dBm,40,80 MHz,802.11n/a/be,f2:f4:14:33:57:9e,WPA2-Personal (AES/CCMP),
,,Dun 5,-82 dBm,40,80 MHz,802.11n/a/be,e8:48:b8:36:0d:1f,WPA2-Personal (AES/CCMP),TP-Link Corporation Limited
,,Fibertel WiFi 84C 5GHz,-82 dBm,64,80 MHz,802.11n/a/be,dc:d9:ae:85:54:cd,WPA2-Personal (AES/CCMP),"Nokia Shanghai Bell Co., Ltd."
,,Personal-665,-82 dBm,64,80 MHz,802.11n/a/be,f2:c4:78:71:42:98,WPA2-Personal (AES/CCMP),
,,IPLAN-921486-5G,-82 dBm,108,80 MHz,802.11n/a/be,5c:3a:3d:a5:84:7d,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Mirtha87,-82 dBm,153,80 MHz,802.11n/a/be,1e:3c:d4:06:71:00,WPA2-Personal (AES/CCMP),
,,*Fibertel WiFi987 5.8GHz,-82 dBm,52,80 MHz,802.11n/a/be,f0:81:75:20:be:6e,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Flia Marcuzan Bargman,-82 dBm,64,80 MHz,802.11n/a/be,62:3d:29:f0:c0:0c,WPA2-Personal (AES/CCMP),
,,Martinez WiFi 5.8,-82 dBm,52,80 MHz,802.11n/a/be,e8:4d:74:cf:1b:f4,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,NOMADA 5.8GHz,-82 dBm,52,80 MHz,802.11n/a/be,38:3f:b3:d4:3b:f8,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,FLIA LISMAN-5GHz,-82 dBm,60,80 MHz,802.11n/a/be,0c:84:08:b0:c3:4c,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Fibertel WiFi171 5.8GHz,-82 dBm,60,80 MHz,802.11n/a/be,62:3d:29:88:77:58,WPA2-Personal (AES/CCMP),
,,IPLAN-314520-5G,-82 dBm,56,80 MHz,802.11n/a/be,f8:79:28:5a:37:bd,WPA2+WPA3-Personal (AES/CCMP),zte corporation
,,Fibertel WiFi594 5.8G,-82 dBm,157,80 MHz,802.11n/a/be,50:6f:0c:ce:b9:98,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,BrendaSweetHome,-82 dBm,153,80 MHz,802.11n/a/be,86:15:d3:fa:8b:f0,WPA2-Personal (AES/CCMP),
,,Wifi1667 5.8GHz,-82 dBm,161,40 MHz,802.11n/a/be,5c:76:95:0f:c5:e0,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,AndroidAP_2609,-83 dBm,40,80 MHz,802.11n/a/be,4a:78:1a:2c:06:4d,WPA2-Personal (AES/CCMP),
,,IPLAN-520892-5G,-83 dBm,104,80 MHz,802.11n/a/be,64:85:05:5e:67:b5,WPA2-Personal (AES/CCMP),zte corporation
,,LORENITA 5.8GHZ ,-83 dBm,161,80 MHz,802.11n/a/be,08:7e:64:aa:1f:00,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,Newbery 5Ghz,-83 dBm,64,80 MHz,802.11n/a/be,4c:06:17:36:94:97,WPA2-Personal (AES/CCMP),Taicang T&W Electronics
,,Fibertel WiFi610 5.8GHz,-83 dBm,52,80 MHz,802.11n/a/be,90:f8:91:51:6e:87,WPA2-Personal (TKIP/AES/CCMP),"Kaon Group Co., Ltd."
,,Roy-5Ghz,-83 dBm,104,80 MHz,802.11n/a/be,f8:79:28:5a:5a:bb,WPA2-Personal (AES/CCMP),zte corporation
,,Roberto wifi1718 2.4,-83 dBm,149,80 MHz,802.11n/a/be,e4:c0:e2:43:1e:b9,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,DIRECT-pm,-83 dBm,40,20 MHz,802.11n/a/be,54:a4:4a:00:d2:53,WPA2-Personal (AES/CCMP),
,,Sauce,-83 dBm,149,80 MHz,802.11n/a/be,e4:5e:1b:b9:89:c7,WPA2-Personal (AES/CCMP),"Google, Inc."
,,Las pibas del B,-83 dBm,149,80 MHz,802.11n/a/be,e0:0c:e5:20:a6:90,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Telecentro-b951,-84 dBm,157,80 MHz,802.11n/a/be,54:47:cc:4f:b9:57,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,AndroidAP_2997,-84 dBm,40,20 MHz,802.11n/a/be,f6:94:7a:e6:59:6a,WPA2-Personal (AES/CCMP),
,,Frida,-84 dBm,60,80 MHz,802.11n/a/be,62:3d:29:2d:80:bc,WPA2-Personal (AES/CCMP),
,,Personal-151,-84 dBm,60,80 MHz,802.11n/a/be,62:3d:29:e3:f9:84,WPA2-Personal (AES/CCMP),
,,Fibertel WiFi159 5.8GHz,-84 dBm,52,80 MHz,802.11n/a/be,e4:c0:e2:42:32:b8,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Redmi 14C,-84 dBm,40,80 MHz,802.11n/a/be,56:c5:b9:cd:b2:37,WPA2-Personal (AES/CCMP),
,,EZE 5.8,-84 dBm,161,80 MHz,802.11n/a/be,4c:06:17:37:2c:a7,WPA2-Personal (AES/CCMP),Taicang T&W Electronics
,,Marcos-5Ghz,-84 dBm,104,80 MHz,802.11n/a/be,64:6e:60:5d:ca:23,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Fibertel WiFi978 5.8GHz,-84 dBm,52,80 MHz,802.11n/a/be,90:58:51:92:c0:e0,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,smartBox-C70A,-84 dBm,40,40 MHz,802.11n/a/be,4c:a3:8f:c1:7b:52,WPA2-Personal (AES/CCMP),
,,Ruffo,-84 dBm,153,80 MHz,802.11n/a/be,22:53:83:cf:9d:04,WPA2-Personal (AES/CCMP),
,,MBUX 31519,-84 dBm,40,80 MHz,802.11n/a/be,66:e2:20:84:77:85,WPA2+WPA3-Personal (AES/CCMP),
,,AndroidAP_2449,-84 dBm,40,20 MHz,802.11n/a/be,be:73:24:2a:f2:71,WPA2-Personal (AES/CCMP),
,,Carplay/AndroidAuto,-85 dBm,40,40 MHz,802.11n/a/be,e0:19:21:01:01:9a,WPA2+WPA3-Personal (AES/CCMP),
,,PepiTV,-85 dBm,157,80 MHz,802.11n/a/be,6e:d1:e5:68:05:94,WPA2-Personal (AES/CCMP),
,,ATLANTA Newbery,-85 dBm,60,80 MHz,802.11n/a/be,6c:ba:b8:fc:81:f9,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Personal-656,-85 dBm,52,80 MHz,802.11n/a/be,e0:0c:e5:64:bf:78,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,3,klugerwifi,-85 dBm,149,80 MHz,802.11n/a/be,1c:f2:9a:c5:86:50,WPA2-Personal (AES/CCMP),"Google, Inc."
,,TeleCentro-13e0-5G,-85 dBm,157,80 MHz,802.11n/a/be,b8:d9:4d:6e:13:e6,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
