,AP,Wifi Name,Signal,Channel,Ch. Width,Standard,MAC Address,Security,Vendor
,,cachapa,-45 dBm,48,80 MHz,802.11n/a/be,f2:9f:c2:38:9a:3f,WPA2-Personal (AES/CCMP),Ubiquiti Inc
,,Personal-669,-47 dBm,52,80 MHz,802.11n/a/be,7a:eb:46:74:11:28,WPA2-Personal (AES/CCMP),
,,Zyxel_5073,-53 dBm,104,80 MHz,802.11n/a/be,d4:1a:d1:15:17:83,WPA2-Personal (AES/CCMP),Zyxel Communications Corporation
,,DIRECT-roku-4CL-1A1A0C,-59 dBm,48,20 MHz,802.11n/a/be,aa:b5:7c:e5:dd:a7,WPA2-Personal (AES/CCMP),
,,ATLANTA Newbery,-70 dBm,60,80 MHz,802.11n/a/be,6c:ba:b8:fc:81:f9,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,2,Atlanta,-71 dBm,36,80 MHz,802.11n/a/be,c0:c9:e3:a1:f7:1f,WPA2-Personal (AES/CCMP),"Tp-Link Technologies Co.,Ltd."
,,FiberCorp WiFi182_5G,-72 dBm,40,80 MHz,802.11n/a/be,70:4f:57:e4:7f:70,WPA2-Personal (TKIP/AES/CCMP),"Tp-Link Technologies Co.,Ltd."
,,Fibertel WiFi026 5.8GHz,-72 dBm,60,80 MHz,802.11n/a/be,b0:bb:e5:3d:f4:ea,WPA2-Personal (TKIP/AES/CCMP),Sagemcom Broadband SAS
,,Fibertel WiFi000 2.4GHz,-78 dBm,52,40 MHz,802.11n/a/be,4c:19:5d:d2:bd:dc,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,3,TeleCentro Wifi,-78 dBm,157,80 MHz,802.11n/a/be,5a:68:7a:76:9d:fa,Open,
,,Manuel-5Ghz,-78 dBm,100,80 MHz,802.11n/a/be,24:a6:5e:01:75:ba,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,UEBD526,-78 dBm,60,80 MHz,802.11n/a/be,62:3d:29:29:95:8c,WPA2-Personal (AES/CCMP),
,,IPLAN-ROCAN75-5G,-79 dBm,108,80 MHz,802.11n/a/be,d4:b7:09:da:53:f0,WPA2-Personal (TKIP/AES/CCMP),zte corporation
,,Wifi casa,-80 dBm,157,80 MHz,802.11n/a/be,58:68:7a:76:9b:f8,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,C4F4F7,-81 dBm,56,80 MHz,802.11n/a/be,b0:fc:36:0a:b8:18,WPA2-Personal (TKIP/AES/CCMP),CyberTAN Technology Inc.
,,Zyxel_5621,-81 dBm,40,80 MHz,802.11n/a/be,d4:1a:d1:15:20:13,WPA2-Personal (AES/CCMP),Zyxel Communications Corporation
,,TeleCentro-2ef7-5G,-82 dBm,157,80 MHz,802.11n/a/be,28:9e:fc:02:2e:fd,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,linksys,-82 dBm,157,80 MHz,802.11n/a/be,f0:09:0d:4d:08:42,WPA2-Personal (AES/CCMP),
,,Personal-215,-82 dBm,149,80 MHz,802.11n/a/be,98:1a:35:b8:39:30,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Gonzalo EI-5GHz,-82 dBm,52,80 MHz,802.11n/a/be,98:77:e7:39:56:84,WPA2-Personal (TKIP/AES/CCMP),"Kaon Group Co., Ltd."
,,WiFi_Fibertel_3ve_5GHz,-82 dBm,157,80 MHz,802.11n/a/be,64:fd:96:d8:cb:15,WPA2-Personal (AES/CCMP),Sagemcom Broadband SAS
,,Personal-134,-83 dBm,52,80 MHz,802.11n/a/be,c8:33:e5:d6:0c:3c,WPA2-Personal (AES/CCMP),"Huawei Technologies Co.,Ltd"
,,Personal-122,-83 dBm,52,80 MHz,802.11n/a/be,7a:eb:46:74:59:80,WPA2-Personal (AES/CCMP),
,,Camila 5.8,-83 dBm,52,40 MHz,802.11n/a/be,08:7e:64:a8:6d:08,WPA2-Personal (AES/CCMP),Vantiva USA LLC
,,Fibertel WiFi355 5.8GHz*,-84 dBm,60,80 MHz,802.11n/a/be,90:58:51:8c:db:38,WPA2-Personal (AES/CCMP),Vantiva USA LLC
