BSSID,Network Name,Vendor,Annotations,Signal (%),Channel,Channel Width,Band,Mode,Generation,Security,Max Rate (Mbps),Seen
C6:C9:E3:A1:F7:1E,⁣⁣Hidden Network⁣⁣,TP-Link,,75,8,40 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),573.5,2025/11/16 09:52:56 AM
8A:2A:A8:81:E5:C2,admin,Ubiquiti Networks,,81,6,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:51:54 AM
80:2A:A8:82:F1:97,cachapa,Ubiquiti Networks,,56,48,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
92:2A:A8:81:E5:C2,⁣⁣Hidden Network⁣⁣,Ubiquiti Networks,,81,6,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:51:54 AM
C0:C9:E3:A1:F7:1F,Atlanta,TP-Link,,48,36,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:56 AM
86:2A:A8:81:E5:C2,oficina,Ubiquiti Networks,,82,6,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:51:10 AM
9C:A5:70:23:27:E4,⁣⁣Hidden Network⁣⁣,eero,,17,48,160 MHz,5 GHz,a/n/ac/ax,6,WPA3 (SAE),2402,2025/11/16 09:49:08 AM
70:4F:57:E4:7F:6F,FiberCorp WiFi182,TP-Link,,61,2,20 MHz,2.4 GHz,b/g/n,4,WPA/WPA2 (PSK),144.4,2025/11/16 09:52:56 AM
D4:1A:D1:15:17:82,Zyxel_5073,Zyxel,,55,1,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),144.4,2025/11/16 09:52:56 AM
C8:9C:BB:57:06:CD,Personal-WiFi-FE7-5Ghz,T&W Electronics,,6,161,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:51:40 AM
9C:A5:70:23:27:E8,⁣⁣Hidden Network⁣⁣,eero,,15,48,160 MHz,5 GHz,a/n/ac/ax,6,,2402,2025/11/16 09:49:38 AM
98:77:E7:39:56:84,Gonzalo EI-5GHz,Kaon Group,,10,52,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
8A:2A:A8:82:F1:97,admin,Ubiquiti Networks,,56,48,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
C0:C9:E3:A1:F7:1E,Atlanta,TP-Link,,80,8,40 MHz,2.4 GHz,b/g/n/ax,6,WPA2 (PSK),573.5,2025/11/16 09:52:56 AM
9A:2A:A8:82:F1:97,guest,Ubiquiti Networks,,58,48,80 MHz,5 GHz,a/n/ac,5,,1300,2025/11/16 09:52:56 AM
86:2A:A8:82:F1:97,oficina,Ubiquiti Networks,,56,48,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1300,2025/11/16 09:52:56 AM
62:3D:29:29:95:8C,UEBD526,Huawei,,22,153,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:40 AM
8E:2A:A8:81:F1:97,IdiOT,Ubiquiti Networks,,50,11,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:52:56 AM
80:2A:A8:81:E5:C2,cachapa,Ubiquiti Networks,,82,6,20 MHz,2.4 GHz,b/g/n,4,WPA2 (PSK),216.7,2025/11/16 09:52:56 AM
70:4F:57:E4:7F:70,FiberCorp WiFi182_5G,TP-Link,,26,40,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),433.3,2025/11/16 09:52:56 AM
D4:B7:09:DA:53:F0,IPLAN-ROCAN75-5G,ZTE,,8,108,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
D4:1A:D1:15:17:83,Zyxel_5073,Zyxel,,48,104,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
7A:EB:46:74:11:28,Personal-669,Huawei,,67,64,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:56 AM
D6:B7:09:FA:53:F0,⁣⁣Hidden Network⁣⁣,ZTE,,8,108,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
D6:1A:D1:35:17:83,⁣⁣Hidden Network⁣⁣,Zyxel,,48,104,80 MHz,5 GHz,a/n/ac,5,WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
26:A6:5E:31:75:BA,⁣⁣Hidden Network⁣⁣,ZTE,,44,100,80 MHz,5 GHz,a/n/ac,5,WPA/WPA2 (PSK),1733.3,2025/11/16 09:52:56 AM
BA:85:7B:0E:CE:DC,RoseHome,Huawei,,15,60,80 MHz,5 GHz,a/n/ac/ax,6,WPA2 (PSK),1201,2025/11/16 09:52:56 AM
66:85:05:9E:43:B5,⁣⁣Hidden Network⁣⁣,ZTE,,6,112,80 MHz,5 GHz,a/n/ac/ax,6,WPA/WPA2 (PSK),1201,2025/11/16 09:50:54 AM
